Title: Galactic chemical evolution: Carbon through Zinc 
Authors: Kobayashi C., Umeda H., Nomoto K., Tominaga N., Ohkubo T. 
Table: The nucleosynthesis yields for Hypernovae in the ejecta
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label Explanations
--------------------------------------------------------------------------------
   1-  5 F5.3   ---     Z     Metallicity
   7- 14 A8     ---     Elem  Element model output (1)
  16- 24 E9.2   solMass P20   The 20 solar mass progenitor, E_51_ = 10 model (2)
  26- 34 E9.2   solMass P25   The 25 solar mass progenitor, E_51_ = 10 model (2)
  36- 44 E9.2   solMass P30   The 30 solar mass progenitor, E_51_ = 20 model (2)
  46- 54 E9.2   solMass P40   The 40 solar mass progenitor, E_51_ = 30 model (2)
--------------------------------------------------------------------------------
Note (1): M_final_ is the mass of the pre-supernova star while M_cut_ is the 
          mass of the material inside the mass-cut that falls onto the remnant.
          The mass of supernova ejecta is the difference between M_final_ 
          and M_cut_.
Note (2): Where E_51_ ~ 10^+51^ erg.
--------------------------------------------------------------------------------
0.    M_final_ 20.00E+00 25.00E+00 30.00E+00 40.00E+00
0.    M_cut_    1.88E+00  2.80E+00  3.27E+00  5.53E+00 
0.    p         8.77E+00  1.06E+01  1.17E+01  1.40E+01 
0.    d         8.66E-17  2.06E-16  1.09E-14  1.66E-14 
0.    ^3^He     4.76E-05  2.11E-04  2.06E-04  2.57E-05 
0.    ^4^He     5.96E+00  8.03E+00  9.54E+00  1.18E+01 
0.    ^6^Li     1.53E-22  3.22E-20  3.50E-17  5.39E-17 
0.    ^7^Li     2.79E-10  5.68E-09  2.36E-08  3.42E-11 
0.    ^9^Be     4.83E-20  3.69E-17  3.09E-18  9.03E-18 
0.    ^10^B     1.95E-19  7.45E-14  1.05E-14  9.41E-15 
0.    ^11^B     1.09E-15  1.28E-12  9.53E-14  9.41E-13 
0.    ^12^C     1.90E-01  2.67E-01  3.16E-01  3.72E-01 
0.    ^13^C     1.18E-08  6.94E-08  6.32E-08  8.19E-08 
0.    ^14^N     5.43E-05  5.96E-04  4.18E-05  3.39E-06 
0.    ^15^N     2.95E-08  1.75E-07  2.20E-07  6.54E-07 
